exp,gt_idx,type,algo,eps_s,pred_dh,true_dh,abs_err,accepted,reject_reason,n_ride_samples
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,3,up,trapezoid,2.0,7.756779371935058,6.0,1.7567793719350577,True,,886
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,3,up,zupt,2.5,9.63301287112261,6.0,3.6330128711226095,True,,936
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,3,up,trapezoid,2.5,7.838683846949257,6.0,1.838683846949257,True,,936
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,3,up,zupt,3.0,7.621316968836916,6.0,1.6213169688369158,True,,986
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,3,up,trapezoid,3.0,6.932491616469935,6.0,0.9324916164699353,True,,986
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,zupt,0.0,6.559892490983852,6.0,0.5598924909838523,True,,708
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,trapezoid,0.0,6.489011742208105,6.0,0.4890117422081053,True,,708
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,zupt,0.25,6.566303399443404,6.0,0.5663033994434041,True,,733
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,trapezoid,0.25,6.454187661065231,6.0,0.4541876610652311,True,,733
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,zupt,0.5,6.804478378118543,6.0,0.8044783781185432,True,,758
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,trapezoid,0.5,6.503268039309536,6.0,0.5032680393095363,True,,758
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,zupt,0.75,6.3913571136012886,6.0,0.39135711360128855,True,,783
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,trapezoid,0.75,6.353775417601748,6.0,0.3537754176017476,True,,783
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,zupt,1.0,6.556087416485069,6.0,0.5560874164850693,True,,808
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,trapezoid,1.0,6.382587721774015,6.0,0.3825877217740148,True,,808
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,zupt,1.25,7.095229577870815,6.0,1.095229577870815,True,,833
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,trapezoid,1.25,6.458386306633793,6.0,0.458386306633793,True,,833
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,zupt,1.5,7.014349016910363,6.0,1.014349016910363,True,,858
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,trapezoid,1.5,6.533835753240686,6.0,0.5338357532406857,True,,858
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,zupt,2.0,7.50915338740289,6.0,1.5091533874028897,True,,908
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,trapezoid,2.0,6.711600882995114,6.0,0.7116008829951141,True,,908
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,zupt,2.5,6.631483194842028,6.0,0.6314831948420281,True,,958
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,trapezoid,2.5,6.4346511523042205,6.0,0.43465115230422047,True,,958
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,zupt,3.0,7.954430099232168,6.0,1.9544300992321677,True,,1008
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,up,trapezoid,3.0,6.859265839573331,6.0,0.8592658395733306,True,,1008
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,zupt,0.0,-3.3505024127516925,-3.0,0.35050241275169247,True,,542
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,trapezoid,0.0,-3.000325167830798,-3.0,0.0003251678307978345,True,,542
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,zupt,0.25,-3.368391341962633,-3.0,0.3683913419626328,True,,566
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,trapezoid,0.25,-2.908472012141773,-3.0,0.09152798785822691,True,,566
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,zupt,0.5,-3.571114467414062,-3.0,0.5711144674140618,True,,592
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,trapezoid,0.5,-3.0269190439573057,-3.0,0.02691904395730571,True,,592
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,zupt,0.75,-3.745213089733903,-3.0,0.7452130897339031,True,,616
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,trapezoid,0.75,-3.042165538791226,-3.0,0.04216553879122609,True,,616
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,zupt,1.0,-3.1822522365378685,-3.0,0.18225223653786848,True,,642
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,trapezoid,1.0,-3.070069137836464,-3.0,0.07006913783646418,True,,642
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,zupt,1.25,-3.7486905333891762,-3.0,0.7486905333891762,True,,666
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,trapezoid,1.25,-3.0645101194972773,-3.0,0.06451011949727725,True,,666
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,zupt,1.5,-3.5264051853919796,-3.0,0.5264051853919796,True,,692
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,trapezoid,1.5,-3.0914678199441523,-3.0,0.09146781994415232,True,,692
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,zupt,2.0,-3.5557913963824936,-3.0,0.5557913963824936,True,,742
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,trapezoid,2.0,-3.112540071593517,-3.0,0.11254007159351698,True,,742
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,zupt,2.5,-4.059821961173143,-3.0,1.0598219611731432,True,,792
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,trapezoid,2.5,-3.056127404923893,-3.0,0.05612740492389312,True,,792
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,zupt,3.0,-4.442535459086214,-3.0,1.4425354590862138,True,,842
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,down,trapezoid,3.0,-3.655792559513644,-3.0,0.6557925595136438,True,,842
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,zupt,0.0,-6.12718339487216,-6.0,0.12718339487216035,True,,708
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,trapezoid,0.0,-6.1415529945775535,-6.0,0.14155299457755355,True,,708
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,zupt,0.25,-6.339737278591765,-6.0,0.33973727859176517,True,,732
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,trapezoid,0.25,-6.137828024128074,-6.0,0.1378280241280736,True,,732
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,zupt,0.5,-6.37578063063246,-6.0,0.3757806306324598,True,,758
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,trapezoid,0.5,-6.278425605567283,-6.0,0.2784256055672829,True,,758
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,zupt,0.75,-6.4405560388820415,-6.0,0.44055603888204153,True,,782
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,trapezoid,0.75,-6.210870865808459,-6.0,0.2108708658084586,True,,782
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,zupt,1.0,-6.15092033938648,-6.0,0.15092033938647997,True,,808
