start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776250691633,1776250707968,up,16.34,0,0.977,0.047
1776250716998,1776250727837,down,10.84,0,0.948,0.071
1776250739415,1776250750454,up,11.04,0,1.022,0.039
1776250759842,1776250771040,up,11.2,-20,1.019,0.035
1776250780110,1776250792782,up,12.67,-20,1.004,0.037
1776250802928,1776250815441,down,12.51,0,0.983,0.047
1776250827338,1776250842956,down,15.62,0,0.903,0.056
1776250852902,1776250865175,down,12.27,0,0.961,0.05
1776250876474,1776250899219,up,22.75,0,0.926,0.053
1776250909324,1776250922036,down,12.71,0,0.995,0.04
1776250933773,1776250949233,down,15.46,0,1.006,0.033
1776250958222,1776250970934,down,12.71,-20,0.764,0.19
