dataset,segment,GT,Barometer,Algo1_Direct,Algo2_ZUPT,Algo3_Kalman,start,end
advio-07,0,5.6,5.057396000000001,3.4969937891449243,5.814863267123742,5.744630239586268,17.0,26.0
advio-07,1,4.53,3.6384739999999995,2.7621850004955286,4.504567455956813,2.7543202055396865,36.5,41.5
advio-07,2,4.52,3.9159299999999995,4.683113134163234,4.3725704033160735,4.371105068443346,50.5,57.5
advio-07,3,4.52,4.19336,4.425134642935124,4.526034117051786,4.524490706122645,66.0,73.5
advio-07,4,4.46,3.1496400000000015,2.606959372195029,4.646909732074384,4.407268050956399,81.5,86.5
advio-14,0,7.52,6.933449,8.961917020083225,6.934722056110568,8.960976193607218,18.5,35.5
advio-18,0,7.81,6.4499059999999995,7.7700444646749895,7.872782874618828,7.866453504450134,73.51,83.01
