segment_idx,type,start_ms,end_ms,raw_dh_m,corrected_dh_m,estimated_end_alt_m,snapped_floor,snap_distance_m
9,outside,1776244014003,1776244019291,-2.471420293300838,0.0,31.478579706699165,Floor 3,2.471420293300838
16,outside,1776244148513,1776244231312,-2.415335437578804,-4.200000000000001,14.384664562421197,Dining Room & Kitchen,1.784664562421197
18,up,1776246017575,1776246050961,35.763987216571934,34.225,58.763987216571934,Floor 10,1.5389872165719325
21,up,1776246073170,1776246089079,9.502968635297009,5.75,80.227968635297,Top Roof Level,3.752968635297009
