segment_idx,type,start_ms,end_ms,raw_dh_m,corrected_dh_m,estimated_end_alt_m,snapped_floor,snap_distance_m
1,up,1776255517538,1776255551234,49.345131693701276,51.0,49.345131693701276,Roof Level,1.6548683062987237
13,down,1776255658776,1776255673679,-10.794164136281623,-7.48,6.545835863718377,Floor 1,3.3141641362816223
15,down,1776255681594,1776255693589,-5.495913308304338,-9.86,4.364086691695661,Ground Floor,4.364086691695661
17,up,1776255701543,1776255715052,8.293646865131947,9.86,8.293646865131947,Floor 1,1.5663531348680522
31,down,1776256103462,1776256114620,-2.072029773668561,-3.740000000000002,48.92797022633144,Floor 11,1.667970226331441
34,outside,1776256137198,1776256144077,2.216507338705071,3.740000000000002,38.25650733870507,Floor 9,1.5234926612949309
37,down,1776256167968,1776256187368,-19.542871051136558,-14.96,5.277128948863442,Floor 1,4.582871051136557
57,down,1776256425346,1776256459119,-52.784343794021666,-48.89,5.965656205978334,Floor 1,3.8943437940216654
