r2_peak_thresh,joint_r2_thresh,min_pair_abs_a,segment_pad_eps_s,mean_f1_like,std_f1_like,n_folds_scored
0.4,0.9,0.3,0.25,0.7920916588893805,0.05866909506328774,5
0.35,0.9,0.3,0.2,0.7920916588893805,0.05866909506328774,5
0.4,0.9,0.3,0.3,0.7920916588893805,0.05866909506328774,5
0.4,0.9,0.3,0.2,0.7920916588893805,0.05866909506328774,5
0.45,0.9,0.3,0.2,0.7920916588893805,0.05866909506328774,5
0.45,0.9,0.3,0.3,0.7920916588893805,0.05866909506328774,5
0.35,0.9,0.3,0.3,0.7920916588893805,0.05866909506328774,5
0.35,0.9,0.3,0.25,0.7920916588893805,0.05866909506328774,5
0.45,0.9,0.3,0.25,0.7920916588893805,0.05866909506328774,5
0.35,0.92,0.3,0.3,0.7899644743839056,0.05674797384654574,5
0.45,0.92,0.3,0.3,0.7899644743839056,0.05674797384654574,5
0.45,0.92,0.3,0.2,0.7899644743839056,0.05674797384654574,5
0.45,0.92,0.3,0.25,0.7899644743839056,0.05674797384654574,5
0.4,0.92,0.3,0.3,0.7899644743839056,0.05674797384654574,5
0.35,0.92,0.3,0.2,0.7899644743839056,0.05674797384654574,5
0.35,0.92,0.3,0.25,0.7899644743839056,0.05674797384654574,5
0.4,0.92,0.3,0.25,0.7899644743839056,0.05674797384654574,5
0.4,0.92,0.3,0.2,0.7899644743839056,0.05674797384654574,5
0.35,0.88,0.3,0.25,0.7851116347368781,0.06188842562965474,5
0.45,0.88,0.3,0.2,0.7851116347368781,0.06188842562965474,5
0.45,0.88,0.3,0.25,0.7851116347368781,0.06188842562965474,5
0.4,0.88,0.3,0.3,0.7851116347368781,0.06188842562965474,5
0.4,0.88,0.3,0.25,0.7851116347368781,0.06188842562965474,5
0.4,0.88,0.3,0.2,0.7851116347368781,0.06188842562965474,5
0.45,0.88,0.3,0.3,0.7851116347368781,0.06188842562965474,5
0.35,0.88,0.3,0.2,0.7851116347368781,0.06188842562965474,5
0.35,0.88,0.3,0.3,0.7851116347368781,0.06188842562965474,5
0.4,0.92,0.25,0.2,0.7764584006885239,0.054669580020019815,5
0.35,0.92,0.25,0.3,0.7764584006885239,0.054669580020019815,5
0.35,0.92,0.25,0.25,0.7764584006885239,0.054669580020019815,5
0.35,0.92,0.25,0.2,0.7764584006885239,0.054669580020019815,5
0.45,0.92,0.25,0.2,0.7764584006885239,0.054669580020019815,5
0.45,0.92,0.25,0.25,0.7764584006885239,0.054669580020019815,5
0.45,0.92,0.25,0.3,0.7764584006885239,0.054669580020019815,5
0.4,0.92,0.25,0.25,0.7764584006885239,0.054669580020019815,5
0.4,0.92,0.25,0.3,0.7764584006885239,0.054669580020019815,5
0.4,0.9,0.25,0.3,0.7729101602215754,0.06677067375176476,5
0.35,0.9,0.25,0.2,0.7729101602215754,0.06677067375176476,5
0.4,0.9,0.25,0.25,0.7729101602215754,0.06677067375176476,5
0.4,0.9,0.25,0.2,0.7729101602215754,0.06677067375176476,5
0.35,0.9,0.25,0.25,0.7729101602215754,0.06677067375176476,5
0.45,0.9,0.25,0.25,0.7729101602215754,0.06677067375176476,5
0.45,0.9,0.25,0.3,0.7729101602215754,0.06677067375176476,5
0.35,0.9,0.25,0.3,0.7729101602215754,0.06677067375176476,5
0.45,0.9,0.25,0.2,0.7729101602215754,0.06677067375176476,5
0.45,0.88,0.25,0.25,0.7695231202613203,0.06508005878703677,5
0.45,0.88,0.25,0.3,0.7695231202613203,0.06508005878703677,5
0.45,0.88,0.25,0.2,0.7695231202613203,0.06508005878703677,5
0.35,0.88,0.25,0.2,0.7695231202613203,0.06508005878703677,5
0.4,0.88,0.25,0.3,0.7695231202613203,0.06508005878703677,5
0.4,0.88,0.25,0.2,0.7695231202613203,0.06508005878703677,5
0.4,0.88,0.25,0.25,0.7695231202613203,0.06508005878703677,5
0.35,0.88,0.25,0.3,0.7695231202613203,0.06508005878703677,5
0.35,0.88,0.25,0.25,0.7695231202613203,0.06508005878703677,5
0.4,0.9,0.35,0.3,0.7604458768785893,0.06310944682098438,5
0.35,0.9,0.35,0.3,0.7604458768785893,0.06310944682098438,5
0.45,0.9,0.35,0.2,0.7604458768785893,0.06310944682098438,5
0.45,0.9,0.35,0.25,0.7604458768785893,0.06310944682098438,5
0.35,0.9,0.35,0.25,0.7604458768785893,0.06310944682098438,5
0.45,0.9,0.35,0.3,0.7604458768785893,0.06310944682098438,5
0.35,0.9,0.35,0.2,0.7604458768785893,0.06310944682098438,5
0.4,0.9,0.35,0.2,0.7604458768785893,0.06310944682098438,5
0.4,0.9,0.35,0.25,0.7604458768785893,0.06310944682098438,5
0.35,0.92,0.35,0.2,0.7551188099375514,0.0651687649430829,5
0.45,0.92,0.35,0.2,0.7551188099375514,0.0651687649430829,5
0.45,0.92,0.35,0.25,0.7551188099375514,0.0651687649430829,5
0.35,0.92,0.35,0.3,0.7551188099375514,0.0651687649430829,5
0.35,0.92,0.35,0.25,0.7551188099375514,0.0651687649430829,5
0.4,0.92,0.35,0.3,0.7551188099375514,0.0651687649430829,5
0.4,0.92,0.35,0.25,0.7551188099375514,0.0651687649430829,5
0.4,0.92,0.35,0.2,0.7551188099375514,0.0651687649430829,5
0.45,0.92,0.35,0.3,0.7551188099375514,0.0651687649430829,5
0.45,0.88,0.35,0.3,0.7535523580830945,0.06698766704000987,5
0.45,0.88,0.35,0.25,0.7535523580830945,0.06698766704000987,5
0.45,0.88,0.35,0.2,0.7535523580830945,0.06698766704000987,5
