start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776250691633,1776250707968,up,16.34,0,1.013,0.027
1776250716998,1776250727837,down,10.84,20,1.037,0.022
1776250739415,1776250750454,up,11.04,0,1.027,0.033
1776250759842,1776250771040,up,11.2,0,1.035,0.021
1776250780110,1776250792782,up,12.67,0,1.027,0.022
1776250802928,1776250815441,down,12.51,40,0.934,0.046
1776250827338,1776250842956,down,15.62,20,0.907,0.052
1776250852902,1776250865175,down,12.27,20,0.774,0.092
1776250876474,1776250899219,up,22.75,20,0.995,0.03
1776250909324,1776250922036,down,12.71,20,1.018,0.031
1776250933773,1776250949233,down,15.46,20,1.015,0.025
1776250958222,1776250970934,down,12.71,0,0.987,0.036
