start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776248956577,1776248969449,down,12.87,-20,0.877,0.085
1776248974896,1776249000192,down,25.3,20,0.937,0.046
1776249005161,1776249021217,down,16.06,0,0.997,0.035
1776249026346,1776249044991,down,18.64,20,0.511,0.064
1776249252742,1776249271581,up,18.84,-120,0.362,0.247
1776249273178,1776249285287,up,12.11,0,1.023,0.032
1776249288221,1776249300971,up,12.75,0,1.016,0.031
1776249306496,1776249319884,up,13.39,40,0.971,0.049
1776249321724,1776249336736,up,15.01,0,0.996,0.036
1776249359477,1776249372798,up,13.32,0,1.014,0.034
1776249374066,1776249392975,up,18.91,0,0.914,0.056
1776249398796,1776249431336,down,32.54,60,0.312,0.093
1776249531953,1776249548090,up,16.14,20,0.698,0.1
1776249556641,1776249586436,up,29.8,0,0.99,0.029
1776249602236,1776249635176,down,32.94,0,0.943,0.045
1776249648905,1776249661179,up,12.27,-120,0.601,0.126
1776249670766,1776249682840,down,12.07,-40,0.962,0.087
1776249702142,1776249714255,up,12.11,-60,0.696,0.114
1776249725037,1776249742712,up,17.68,60,0.908,0.076
1776249744403,1776249757936,up,13.53,60,0.826,0.127
1776249793729,1776249806050,up,12.32,0,0.955,0.081
1776249810057,1776249821543,down,11.49,0,0.989,0.071
1776249897665,1776249909820,down,12.15,0,1.011,0.035
1776249922036,1776249943749,down,21.71,-40,0.538,0.09
1776249338851,1776249355343,up,16.49,0,0.976,0.042
1776249760262,1776249772948,up,12.69,0,1.025,0.038
1776249774217,1776249791767,up,17.55,80,0.814,0.108
1776249824080,1776249837401,down,13.32,-20,0.956,0.075
1776249838670,1776249853048,down,14.38,0,0.991,0.05
1776249855163,1776249874615,down,19.45,-20,0.907,0.072
1776249875884,1776249894280,down,18.4,0,1.005,0.033
