exp,kind,gt_idx,type,duration_s,true_dh,status,oracle_pred_dh,oracle_ci,oracle_accepted
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,train,35,up,17.039999999999964,9.0,clean,9.290712415258158,1.1536247978742113,True
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,train,36,up,14.22400000000016,5.5,clean,6.3566452743451265,0.8586652618770123,True
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,train,37,down,26.76800000000003,-11.5,gt_split,-8.443650647074579,2.2581786197016167,False
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,train,38,down,13.00799999999981,-9.0,clean,-6.5406545820421425,6.584074865627798,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,0,up,19.441999999999993,15.8,missed,7.675638102262011,2.0598758775094392,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,1,up,17.251000000000005,12.0,missed,6.264644302600438,3.1947074604811747,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,2,up,10.841000000000008,3.0,clean,2.7620484506673746,0.7555687478398343,True
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,3,up,13.22999999999999,5.9999999999999964,missed,5.900797167496061,0.770246356310772,True
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,4,up,10.762,3.0,clean,2.9797954999340264,0.7555687478398343,True
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,5,up,10.800999999999988,3.0,clean,3.002422123645356,0.7555687478398343,True
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,6,up,13.230000000000018,6.0,missed,0.11279049250996594,0.7555687478398343,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,7,up,10.760999999999967,3.0,gt_merged,3.071008628630862,1.0763036166962714,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,8,up,13.189999999999998,6.0,gt_merged,6.756511651588331,1.37416583979392,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,9,down,10.68100000000004,-3.0,gt_merged,-0.8864312200758994,0.7555687478398343,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,10,down,10.721000000000004,-3.0,gt_merged,-3.0723972219598212,1.0908298431616303,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,11,down,13.468999999999937,-6.0,gt_merged,-7.467201574222294,1.6026209794511739,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,12,down,10.841000000000008,-3.0,gt_merged,-2.0268465925360233,0.7555687478398343,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,13,down,13.70900000000006,-6.0,missed,-3.7292343055331116,1.5608851317390702,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,14,down,13.468999999999937,-5.9999999999999964,missed,-5.684740858362061,1.7226390475484392,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,15,down,10.80099999999993,-3.0,missed,-1.9600488105680758,0.7971699290123943,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,16,down,10.841000000000008,-3.0,missed,-2.7858204761595315,1.1732750641951204,True
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,17,down,15.81899999999996,-9.0,missed,0.5526979603662313,0.7555687478398343,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,18,down,19.125,-15.8,missed,-13.430056185118861,2.7092800139740705,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,19,up,18.686000000000035,15.8,missed,13.120110888730695,2.695038925904714,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,20,up,13.469000000000051,9.0,missed,-0.09621864257136743,0.7555687478398343,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,21,up,11.755999999999972,6.0,gt_merged,2.846590845285831,0.9890927166908704,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,22,up,14.305999999999926,5.9999999999999964,gt_merged,4.045799858421718,1.2646543417385376,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,23,up,11.039000000000101,3.0,missed,2.430907960595814,0.8246012893235563,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,24,up,10.680999999999926,3.0,missed,2.940668519091246,1.049920085885541,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,25,up,10.99899999999991,3.0,missed,2.983840429496384,0.7555687478398343,True
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,26,up,13.98599999999999,6.0,clean,6.711629849378119,1.854809492675562,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,27,up,10.600999999999999,0.0,missed,3.2426358343472756,1.2475022997379146,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,28,up,13.389999999999986,6.0,missed,5.353612273947189,1.5066810333312786,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,29,up,13.507999999999925,5.0,missed,7.992218273471769,2.2071285097193556,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,30,down,10.522000000000048,-5.0,missed,-2.392488000665981,0.9475580670458258,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,31,down,12.07400000000007,-6.0,missed,-1.729713681908937,3.7424610448471047,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,32,down,10.68100000000004,-3.0,missed,-2.8984361650402906,1.1442130491863258,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,33,down,10.323000000000093,-6.0,missed,-3.5802026329538625,1.3800013871796784,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,34,down,19.442000000000007,-15.0,missed,-14.120710332960368,2.8477541947432767,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,35,down,13.787000000000035,-5.9999999999999964,missed,-4.318184799795604,0.998461551364028,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,36,down,11.07899999999995,-3.0,clean,-2.929316099134108,0.9391871065509402,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,37,down,22.625999999999976,-20.0,missed,-15.115183632145142,2.3510130068732527,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,38,up,47.75200000000018,58.0,missed,23.381964880390047,3.853522484270506,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,39,down,26.567999999999984,-26.0,missed,-19.87179114860773,3.5654888110939242,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,40,down,29.19699999999989,-32.0,missed,-35.964592099329806,5.13943016070576,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,41,up,30.588999999999942,32.0,missed,33.615392894328345,4.091182927870271,True
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,42,up,26.649000000000115,26.0,missed,24.992823521855062,3.5932062318216276,False
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,43,down,47.03600000000006,-58.0,missed,-72.32811286555474,7.049131392006008,False
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,0,up,23.46199999999999,27.0788,clean,27.07400789260475,3.140520007860569,False
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,1,down,17.25,-15.639999999999995,clean,-15.016105706845865,2.4573726287047895,False
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,2,down,10.95799999999997,-3.7073,clean,-3.524835550955526,0.7555687478398343,False
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,3,up,17.528999999999996,15.1485,clean,16.170912614289108,3.1610853125672107,False
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,4,up,15.855999999999995,11.172,clean,12.182859698285684,1.9240093678569696,False
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,5,down,19.322000000000003,-15.639999999999995,clean,-19.577281551131083,2.665870648025179,False
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,6,down,13.269000000000005,-7.82,clean,-7.60878183529607,1.388210306722763,False
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,7,down,13.347999999999956,-7.82,clean,-7.642656464039146,1.2064214189762021,True
