exp,kind,pred_idx,type,duration_s,status,matched_gt_idx,matched_gt_dh,pred_dh,pred_ci,pred_accepted,baro_dh
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,train,31,down,13.529206896551841,clean,34,-12.0,-9.006320781872974,1.7964990390894515,True,-11.776747273780806
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,train,32,down,27.16399999999976,clean,35,9.0,-37.912839046474495,5.594258675069971,False,0.6450928766056094
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,train,33,up,9.63848275862074,clean,36,5.5,6.218416506584138,0.9367785901993713,True,6.118286008017591
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,train,34,down,5.806448275862067,entangled,37,-11.5,-3.055463838203586,1.1806806536292296,False,-2.9451319621464833
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,train,35,down,12.578482758620567,entangled,37,-11.5,-8.732906013916411,1.051354944130526,True,-9.13446124867611
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,train,36,up,4.883448275862065,clean,38,-9.0,-22.687310239558528,17.77248902897184,False,-4.096161757312068
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,0,up,4.761413793103458,clean,2,3.0,1.9311628199714264,0.9376971138887648,False,2.770992936458697
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,1,up,6.6872758620689865,clean,4,3.0,2.9248572894379206,0.7555687478398343,True,3.0256604093362114
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,2,up,5.494827586206895,clean,5,3.0,2.514272307651737,0.7555687478398343,False,2.8094460882259114
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,3,down,16.512,entangled,7,3.0,-7.751962938267218,1.8187334095597782,True,0.8845850144605834
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,4,down,4.02800000000002,fp,-1,,0.1708374909025768,0.9222812975591197,False,0.03438810862954256
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,5,up,20.177206896551752,entangled,9,-3.0,4.000062322097,1.6603938639729594,False,-0.9843898681005783
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,6,down,24.955999999999904,entangled,11,-6.0,6.712616740924812,2.0917034903679284,False,-8.253870613341121
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,7,down,17.9079999999999,entangled,21,6.0,2.0276853957051957,1.0750473003688612,False,3.805947933415837
