floor,height
Lower Basement,-6.4
Upper Basement,-3.3
Residential Entrance,-2.6
Street Level / Ground,0.0
Podium Floor 1,7.8
Commercial Floor,12.8
Floor 1,15.8
Floor 2,18.8
Floor 3,21.8
Floor 4,24.8
Floor 5,27.8
Floor 6,30.8
Floor 7,33.8
Floor 8,36.8
Floor 9,39.8
Floor 10,42.8
Floor 11,45.8
Floor 12,48.8
Floor 13,51.8
Floor 14,54.8
Floor 15,57.8
Floor 16,60.8
Roof Level,65.8
