time_s,ax_ms2,ay_ms2,az_ms2
2.881,1.1533405,4.0905304,5.9114685
2.9,1.2861422,4.4111686,3.481557
2.919,1.6677973,3.818945,2.9395826
2.939,2.678765,2.5316064,4.0977087
2.958,3.2075787,2.1260228,5.9784675
2.977,2.5698915,2.0925233,6.0023956
2.996,3.0269206,1.1676974,4.634897
3.015,2.292324,0.4426722,3.2231321
3.035,2.3138595,-0.02632105,1.6474584
3.054,3.8201413,-1.0935199,-0.5312066
3.073,6.1232333,-3.4492538,0.75493556
3.092,6.1830535,-5.0069814,3.4624143
3.111,7.597212,-4.782056,4.358526
3.131,9.537791,-4.786842,3.8691943
3.15,9.876375,-5.3132625,3.2973096
3.169,10.911271,-5.3479586,3.6634114
3.188,13.130614,-5.3240304,4.243671
3.207,15.530616,-5.690132,4.1204405
3.227,16.616957,-4.9878387,4.28076
3.246,17.844475,-4.112066,6.334998
3.265,20.257637,-2.7098715,8.693125
3.284,22.459034,-1.7814565,8.786445
3.304,25.67738,1.1006985,3.5976088
3.323,25.859234,5.669793,-14.554344
3.342,20.843878,3.0460632,-0.5922236
3.361,19.89991,1.995614,8.482556
3.38,18.875782,3.2183464,6.0753765
3.4,15.734005,3.211168,0.9667004
3.432,7.9944205,1.942972,-7.3052874
3.451,10.588241,1.5433706,-2.347359
3.471,9.336794,1.2586247,-5.237889
3.49,5.1086764,0.24646074,-6.6711893
3.509,4.5272202,-0.40438703,-2.9647074
3.528,3.534199,-0.95712906,0.02632105
3.547,3.2063823,-0.43788654,-0.3397808
3.567,4.692325,1.7084754,-1.4787644
3.586,8.985049,4.759324,-2.416751
3.605,9.645468,3.117848,0.023928227
3.624,5.2307105,0.043070808,-0.0023928226
3.643,6.987042,0.5599205,-4.895715
3.663,4.7162533,-2.495714,-5.015356
3.682,4.1754756,-2.548356,-8.276773
3.701,8.370093,-4.9459643,-7.0492554
3.72,12.80878,-4.2424746,-6.0083776
3.739,17.206787,-4.287938,-5.6374903
3.759,6.3481584,-2.737389,0.44027936
3.778,13.907085,-4.395615,-2.8905299
3.797,16.38605,-4.974678,-3.6251264
3.816,15.519848,-6.463014,-2.1535404
3.835,13.847264,-3.8356948,0.11246266
3.855,10.978271,-4.9459643,-1.5601203
3.874,10.387243,-4.4554358,-1.6821543
3.893,13.5170555,-2.1487548,-1.3830515
3.912,14.354543,0.83988076,-4.089334
3.931,13.25863,-0.0023928226,-1.9669002
3.951,3.3667014,-1.5409778,-1.5266209
3.97,1.8233309,0.23928227,0.7920243
3.989,1.1174482,-0.6269195,-0.70348984
4.008,2.3018954,0.27038896,-1.5098711
4.028,1.2777673,-1.4596218,-2.589034
4.047,-0.85902333,-2.605784,-2.3401806
4.066,-1.9286151,-3.7567315,0.42592242
4.085,0.55034924,-5.4341,3.6346977
4.104,10.01157,-4.3788652,4.098905
4.124,19.666609,-5.022535,0.9499506
4.143,27.326035,-0.7106683,0.56470615
4.162,25.366312,0.59581286,-2.4502504
4.181,15.795022,-2.4933212,-1.6438692
4.2,9.834501,-7.04447,-7.9154572
4.22,14.443077,-4.371687,-8.877372
4.239,9.052048,-10.719846,0.3469593
4.258,7.5110703,-13.531412,2.9048867
4.277,6.613762,-11.468799,-0.9236295
4.296,6.1734824,-9.133404,-4.2185464
4.316,0.81595254,-6.3481584,-2.0027926
4.335,3.9553359,-5.4221363,0.038285162
4.354,3.455236,-7.0348988,1.5290136
4.373,3.979264,-7.7216387,1.5290136
4.392,4.898108,-8.032705,1.8735801
4.412,4.8622155,-8.805588,0.7848458
4.431,4.7688956,-9.238688,-3.5796626
4.45,5.1469617,-6.7262244,-2.4454648
4.469,5.881558,-5.328816,0.47377887
4.488,5.4963136,-3.249453,3.1441689
4.508,2.792424,-3.2446675,1.5170496
4.527,0.93559366,-4.1898327,0.6053841
4.546,-0.3062813,-5.601598,0.40917268
4.565,-2.120041,-10.207782,1.1916257
4.585,-4.1922255,-20.03032,3.8333018
4.604,-4.668397,-29.563324,3.0723844
4.623,0.2440679,-22.99742,-1.3734802
4.642,1.0049855,-11.705688,-1.7802601
4.661,1.1772687,-8.817552,-3.2590244
4.681,1.2083755,-9.473185,-3.0317063
4.7,0.27756742,-9.777073,-1.5361922
4.719,-0.8207382,-9.533006,-0.9092726
4.738,-1.9812572,-9.547362,-0.059820566
4.757,-2.8259234,-9.583255,-0.11246266
4.777,-3.9649072,-9.62154,-1.5840486
4.796,-4.9986067,-9.9038925,-1.7778672
4.815,-5.1661043,-10.66481,0.8446664
4.834,-4.3118663,-11.224731,2.4382863
4.853,-2.1511476,-10.762917,2.8354948
4.873,-0.28953153,-9.973285,1.7252251
4.892,1.119841,-9.190832,0.76331043
4.911,1.6821543,-8.843872,0.13878371
4.93,1.2921243,-8.793623,-0.3924229
4.949,0.66759753,-8.367701,-0.6412765
4.969,-0.55752766,-8.116454,-1.0576276
4.988,-1.8041883,-7.9369926,-1.0983056
5.007,-2.644069,-7.702496,-0.997807
5.026,-2.9120653,-7.6259255,-1.2514462
5.046,-2.548356,-7.5924263,-1.282553
5.065,-2.4239295,-7.9968133,-1.4739788
5.084,-2.2492533,-8.779266,-1.875973
5.103,-2.0554347,-9.353543,-2.050649
5.122,-1.9094725,-9.410972,-2.0267208
5.142,-1.698904,-9.0951185,-2.0386848
5.161,-1.3184453,-8.88455,-2.4861426
5.18,-0.93559366,-9.12144,-3.0317063
5.199,-0.2656033,-9.609575,-4.0797625
5.218,0.9882358,-10.07139,-5.386244
5.238,2.3306093,-11.078769,-6.611369
5.257,3.641876,-12.126825,-6.5108705
5.276,4.395615,-11.779866,-5.046463
5.295,2.7086751,-9.789038,-3.711268
5.314,-0.26799613,-8.63809,-8.516056
5.334,-1.6366907,-6.0155563,-0.44027936
5.353,-2.5268207,-5.426922,0.078963146
5.372,-3.6251264,-5.56092,-0.70348984
5.391,-3.9673,-7.7814593,-1.7180467
5.41,-4.1347976,-13.99562,-2.9479575
5.43,-2.536392,-21.382263,-5.453243
5.449,2.8546374,-17.948563,-0.6053841
5.468,3.9314077,-8.590233,3.237489
5.487,2.5914268,-3.2566316,0.44745782
5.506,-3.0317063,-9.370294,0.62452674
5.526,-3.2398818,-8.779266,0.1052842
5.545,-5.300102,-11.346765,4.7832522
5.564,-10.348958,-7.0492554,11.928221
5.583,-7.274181,-5.568098,4.6875396
5.603,-4.9268217,-5.9030933,1.0887343
5.622,-3.3930225,-6.8889365,1.1365907
5.641,-4.5320063,-14.505291,2.2899313
5.66,-2.160719,-22.552353,-1.1653047
5.679,7.501499,-14.998212,-3.6658044
5.699,12.282358,-4.6875396,-1.6127625
5.718,7.0779696,-4.3932223,0.03589234
5.737,2.8546374,-8.090134,0.5168497
5.756,0.6125626,-9.075976,3.2207394
5.775,-2.012364,-10.236495,2.926422
5.795,-5.0129633,-12.217752,1.2490535
5.814,-6.798009,-11.763116,0.27517462
5.833,-5.4412785,-9.726824,-0.9762716
5.852,-2.4933212,-8.1738825,-0.66041905
5.871,-0.9236295,-7.984849,1.2705889
5.891,-0.930808,-8.827123,0.76570326
5.91,-0.4354937,-9.559326,3.4097722
5.929,0.72263247,-9.657433,3.8739798
5.948,-0.11724831,-9.710074,-5.45085
5.967,-4.402794,-10.219746,4.792824
5.987,0.77766734,-7.664211,-3.6203406
6.006,-0.92602235,-10.394422,1.6103697
6.025,-0.8925229,-11.057234,5.601598
6.044,0.37328035,-8.535198,1.9166509
6.064,-0.7704889,-8.927621,-0.76570326
6.083,-1.2227324,-8.4682,1.538585
6.102,-2.8307092,-10.557134,3.0436704
6.121,-3.7040894,-13.045669,0.18185452
6.14,-1.1772687,-11.411371,-2.806781
6.16,0.09571291,-10.748559,-0.28235307
6.179,3.1058838,-11.990435,-3.7734814
6.198,5.369494,-15.969698,-7.02772
6.217,8.128419,-13.450056,-8.563912
6.236,3.7280176,-12.08854,-2.754139
6.256,-4.316652,-13.741981,3.5796626
6.275,-11.389835,-15.548561,4.536792
6.294,-15.371492,-15.8715925,3.4289148
6.313,-13.825729,-12.8686,5.8911295
6.332,-7.135397,-10.468599,5.625526
6.352,-4.0869412,-13.342379,4.005585
6.371,-1.1676974,-15.35235,1.8975084
6.39,-2.091327,-17.735601,2.7972097
6.409,-0.8039884,-17.627924,2.5220351
6.428,3.196811,-9.430114,0.05503492
6.448,3.3212378,-4.4075794,0.83748794
6.467,-0.09571291,-4.2592244,2.1678972
6.486,-1.9310079,-2.658426,3.5006995
6.505,-2.87378,-1.4500505,3.6275191
6.524,-3.3044882,0.7609176,2.7876384
6.544,-4.316652,0.1052842,2.0434706
6.563,-4.046263,-1.5696917,1.8041883
6.582,-3.7974095,-3.4097722,1.3567305
6.601,-4.2520456,-5.0536413,1.4979069
6.621,-3.9338005,-4.723432,0.11964113
6.64,-2.7086751,-6.0418773,-1.3064811
6.659,-0.9451649,-11.73201,-10.41835
6.678,-0.03589234,-20.858234,-15.85245
6.697,2.656033,-5.0823555,-14.821143
6.717,-5.5513487,-13.808979,-7.314859
6.736,-0.86859465,-11.126625,-8.760123
6.755,0.5623133,-9.035298,-7.645068
6.774,-0.8877372,-11.904293,-6.5371914
6.793,0.22253251,-8.427522,-5.922236
6.813,0.6867401,-6.795616,-7.580462
6.832,-6.489335,-14.586647,-7.5062847
6.851,-9.157332,-17.546568,1.8281165
6.87,-1.9788643,-11.212767,4.618148
6.889,-4.6875396,-7.058827,0.6843473
6.909,-10.722239,-17.747566,0.26081768
6.928,-4.319045,-7.1162543,1.672583
6.947,-2.845066,-6.6161547,1.3112668
6.966,-2.184647,-9.640682,-1.5050855
6.985,-1.3710874,-9.020942,4.2687955
7.005,-1.6965113,-10.325029,7.2382884
7.024,-2.969493,-12.244074,4.907679
