time_s,ax_ms2,ay_ms2,az_ms2
1.434,-0.10848726,0.15734394,9.764602
1.444,-0.11798925,0.16205753,9.774104
1.454,-0.12292729,0.16542438,9.76565
1.464,-0.12292729,0.16071078,9.769316
1.474,-0.119335994,0.15233108,9.774104
1.484,-0.11581951,0.1654992,9.774029
1.494,-0.11335049,0.15711948,9.776498
1.504,-0.12292729,0.1619079,9.772832
1.514,-0.1253215,0.15711948,9.781212
1.524,-0.11342531,0.15831658,9.780089
1.534,-0.12270284,0.15382746,9.7741785
1.544,-0.11312603,0.16220717,9.774104
1.554,-0.12030864,0.15981296,9.776498
1.564,-0.12861352,0.15502456,9.770588
1.574,-0.11791443,0.15861586,9.764602
1.584,-0.108337626,0.16699557,9.770513
1.594,-0.11911154,0.15741876,9.774104
1.604,-0.12030864,0.16340427,9.769316
1.614,-0.11439795,0.16213235,9.766921
1.625,-0.12517186,0.16931495,9.771709
1.635,-0.11918636,0.15734394,9.7788925
1.645,-0.103624046,0.16692075,9.766921
1.655,-0.11679215,0.15502456,9.780089
1.665,-0.12030864,0.15973814,9.770513
1.675,-0.11439795,0.16572365,9.774104
1.685,-0.110806644,0.16811785,9.780089
1.695,-0.12868834,0.16332945,9.765724
1.705,-0.12038346,0.15973814,9.772907
1.715,-0.11798925,0.16811785,9.772907
1.725,-0.107215345,0.16572365,9.760936
1.735,-0.11679215,0.16692075,9.776498
1.745,-0.12038346,0.16931495,9.782409
1.755,-0.11918636,0.16213235,9.775301
1.765,-0.121580556,0.16811785,9.768119
1.775,-0.1261445,0.1599626,9.771785
1.785,-0.1225532,0.15285482,9.772982
1.795,-0.11656769,0.15524901,9.780165
1.805,-0.1225532,0.16714521,9.771709
1.815,-0.120159,0.16714521,9.769316
1.825,-0.1225532,0.15764321,9.775376
1.835,-0.11058219,0.15165772,9.76939
1.845,-0.11776479,0.16243163,9.775376
1.855,-0.11664251,0.16467619,9.761011
1.865,-0.11192893,0.16228199,9.781286
1.875,-0.109534726,0.16228199,9.772907
1.885,-0.11783961,0.15988778,9.76939
1.895,-0.11552023,0.15988778,9.781286
1.905,-0.11664251,0.15869068,9.7788925
1.915,-0.11783961,0.15390228,9.7741785
1.925,-0.11664251,0.16587329,9.770513
1.935,-0.12030864,0.15854104,9.772907
1.945,-0.12150574,0.16213235,9.768119
1.955,-0.110806644,0.15502456,9.771785
1.966,-0.12030864,0.15734394,9.772907
1.976,-0.11791443,0.15614684,9.76939
1.986,-0.121580556,0.15973814,9.775301
1.996,-0.12389994,0.15734394,9.776498
2.006,-0.12389994,0.14903906,9.77777
