start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776248956577,1776248969449,down,12.87,0,0.887,0.082
1776248974896,1776249000192,down,25.3,20,0.944,0.046
1776249005161,1776249021217,down,16.06,20,0.997,0.036
1776249026346,1776249044991,down,18.64,20,0.718,0.076
1776249252742,1776249271581,up,18.84,-100,0.357,0.246
1776249273178,1776249285287,up,12.11,0,1.024,0.03
1776249288221,1776249300971,up,12.75,20,1.019,0.031
1776249306496,1776249319884,up,13.39,40,0.975,0.047
1776249321724,1776249336736,up,15.01,20,1.004,0.032
1776249359477,1776249372798,up,13.32,20,1.016,0.034
1776249374066,1776249392975,up,18.91,0,0.926,0.052
1776249398796,1776249431336,down,32.54,60,0.323,0.093
1776249531953,1776249548090,up,16.14,20,0.704,0.098
1776249556641,1776249586436,up,29.8,0,0.993,0.025
1776249602236,1776249635176,down,32.94,0,0.949,0.042
1776249648905,1776249661179,up,12.27,-100,0.611,0.126
1776249670766,1776249682840,down,12.07,-40,0.967,0.082
1776249702142,1776249714255,up,12.11,-60,0.705,0.108
1776249725037,1776249742712,up,17.68,80,0.921,0.071
1776249744403,1776249757936,up,13.53,80,0.833,0.122
1776249793729,1776249806050,up,12.32,20,0.969,0.073
1776249810057,1776249821543,down,11.49,0,0.996,0.068
1776249897665,1776249909820,down,12.15,0,1.015,0.033
1776249922036,1776249943749,down,21.71,-20,0.587,0.088
1776249338851,1776249355343,up,16.49,0,0.981,0.039
1776249760262,1776249772948,up,12.69,0,1.026,0.035
1776249774217,1776249791767,up,17.55,80,0.815,0.103
1776249824080,1776249837401,down,13.32,0,0.961,0.071
1776249838670,1776249853048,down,14.38,0,0.996,0.046
1776249855163,1776249874615,down,19.45,0,0.914,0.068
1776249875884,1776249894280,down,18.4,0,1.009,0.03
