r2_peak_thresh,min_peak_abs_a,nms_radius_s,same_sign_min_gap_s,min_ride_s,max_ride_s,joint_r2_thresh,min_pair_abs_a,heatmap_energy_thresh,w_min_s,w_max_s,n_w,f_min,f_max,n_f,noise_sigma_multiplier,n_gt,n_pred,clean,missed,gt_merged,gt_split,fp,pred_merged,pred_split_part,f1_like,recall,precision,miss_rate,merge_rate,fp_rate,iou_f1@0.5,iou_precision@0.5,iou_recall@0.5,iou_mean@0.5,iou_tp@0.5,iou_fp@0.5,iou_fn@0.5
0.8,0.5,0.5,1.0,0.0,120.0,0.75,0.5,0.3,0.4,3.0,30,0.05,0.8,15,6.0,415,452,233,161,18,3,206,7,6,0.5374855824682814,0.5614457831325301,0.5154867256637168,0.38795180722891565,0.015486725663716814,0.4557522123893805,0.28604382929642447,0.2743362831858407,0.2987951807228916,0.5955185453184036,124,328,291
0.8,0.5,0.5,2.0,0.0,120.0,0.75,0.5,0.3,0.4,3.0,30,0.05,0.8,15,6.0,415,424,231,162,18,4,178,7,8,0.5506555423122765,0.5566265060240964,0.5448113207547169,0.39036144578313253,0.01650943396226415,0.419811320754717,0.29320619785458885,0.29009433962264153,0.2963855421686747,0.5929131895836907,123,301,292
0.8,0.5,0.5,3.0,0.0,120.0,0.75,0.5,0.3,0.4,3.0,30,0.05,0.8,15,6.0,415,410,230,164,18,3,167,7,6,0.5575757575757576,0.5542168674698795,0.5609756097560976,0.39518072289156625,0.01707317073170732,0.4073170731707317,0.29818181818181816,0.3,0.2963855421686747,0.5929131895836907,123,287,292
0.8,0.5,0.5,4.0,0.0,120.0,0.75,0.5,0.3,0.4,3.0,30,0.05,0.8,15,6.0,415,398,228,167,18,2,159,7,4,0.5608856088560885,0.5493975903614458,0.5728643216080402,0.40240963855421685,0.017587939698492462,0.39949748743718594,0.3025830258302583,0.30904522613065327,0.2963855421686747,0.5929131895836907,123,275,292
0.8,0.5,0.5,5.0,0.0,120.0,0.75,0.5,0.3,0.4,3.0,30,0.05,0.8,15,6.0,415,389,229,167,18,1,151,7,2,0.5696517412935324,0.5518072289156627,0.5886889460154242,0.40240963855421685,0.017994858611825194,0.38817480719794345,0.3059701492537314,0.3161953727506427,0.2963855421686747,0.5929131895836907,123,266,292
0.8,0.5,0.5,7.0,0.0,120.0,0.75,0.5,0.3,0.4,3.0,30,0.05,0.8,15,6.0,415,370,229,166,19,1,132,8,1,0.5834394904458599,0.5518072289156627,0.6189189189189189,0.4,0.021621621621621623,0.3567567567567568,0.31337579617834393,0.3324324324324324,0.2963855421686747,0.5929131895836907,123,247,292
0.8,0.5,0.5,10.0,0.0,120.0,0.75,0.5,0.3,0.4,3.0,30,0.05,0.8,15,6.0,415,348,227,171,17,0,114,7,0,0.5950196592398427,0.5469879518072289,0.6522988505747126,0.41204819277108434,0.020114942528735632,0.3275862068965517,0.3197903014416776,0.3505747126436782,0.29397590361445786,0.5932525544687122,122,226,293
