Floor Name,Elevation (m)
Ground Floor,+0.00
Floor 1,+3.00
Floor 2,+6.00
Floor 3,+9.00
Floor 4,+12.00
Floor 5,+15.00
Floor 6,+18.00
Floor 7,+21.00
Roof Level,+23.50
