Floor Name,Elevation (m)
Basement 6,-19.65
Basement 5,-16.6
Basement 4,-13.62
Basement 3,-10.46
Basement 2,-7.51
Basement 1,-4.2
Ground Floor,0
Gallery Level,+3.27
Floor 1,+6.50
Floor 2,+10.35
Floor 3,+14.20
Floor 4,+18.05
Floor 5,+21.90
Floor 6,+25.75
Floor 7,+29.60
Floor 8,+33.45
Floor 9,+37.30
Floor 10,+41.15
Floor 11,+45.00
Floor 12,+48.85
Roof Level,+51.20
Top Roof Level,+54.20
