Floor Name,Elevation (m)
Ground Floor,+0.00
Parking 1,+3.15
Parking 2,+6.30
Parking 3,+9.45
Dining Room & Kitchen,+12.60
Entrance Floor,+16.80
Mezzanine,+19.60
Floor 1,+23.00
Floor 2,+28.35
Floor 3,+33.95
Floor 4,+37.275
Floor 5,+40.60
Floor 6,+43.925
Floor 7,+47.25
Floor 8,+50.575
Floor 9,+53.90
Floor 10,+57.225
Floor 11,+60.55
Floor 12,+64.225
AC Equipment Roof,+67.88
Technical Room,+70.725
Water Tanks & Pumps,+74.275
Top Roof Level,+76.475
